geo,name,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
nru,Nauru,,,79,90,99,79,57,72,86,29,62,,,,,,,,,,99,99,99,79,87,95,91,97,87,90,96,95,98,97,97
nzl,New Zealand,,,,67,74,81,88,94,99,87,89,,,,,,,,,,,,,,,,,,,,,,,,
omn,Oman,,,94,99,96,99,99,99,99,99,99,,,97,99,99,99,98,99,99,98,99,99,98,98,99,99,99,99,99,99,99,99,99,99
pak,Pakistan,,,,,,,,,,,,,,,,,,,,,52,52,63,64,65,69,72,75,75,80,84,80,83,85,86
pan,Panama,,,,,,,,,,,,,99,99,98,95,92,88,85,86,85,94,87,85,80,80,73,86,81,88,88,74,87,82,66
per,Peru,,,,,,,,,,,,43,38,40,41,96,94,94,93,93,93,93,91,95,88,88,90,90,89,89,88,72,82,82,84
phl,Philippines,,,,,,,38,35,31,30,32,,,,,,,,,,,2,14,89,84,79,74,84,84,84,84,83,69,84,89
plw,Palau,,,89,75,94,73,99,99,90,96,96,,,,,,,,,,,,,,,,,,,,,,,,
png,Papua New Guinea,,20,19,12,7,20,23,43,44,47,54,,,,,,,,,,64,55,58,57,59,52,49,46,36,35,35,40,32,37,35
pol,Poland,,,1,1,1,4,23,56,97,99,99,,,,,,22,31,88,98,99,99,99,99,99,98,98,98,96,95,95,94,94,94,94
prk,North Korea,,,,,,,,,,,,,,,,,,,,,,,,32,93,93,96,96,97,97,97,97,41,,16
prt,Portugal,,,,,,,6,34,49,64,61,86,90,94,99,95,93,97,97,97,96,97,97,98,98,98,98,98,98,99,99,99,99,99,99
pry,Paraguay,,,,,,,,,,,,,,,86,92,93,92,88,87,85,91,91,91,90,93,92,92,91,88,86,79,70,69,71
pse,Palestine,,,,,,,,,,,,,,,,,,,96,96,97,99,99,97,99,99,99,99,99,99,99,98,95,98,88
qat,Qatar,,,86,89,93,90,90,90,90,92,92,80,93,96,92,96,97,96,94,97,99,97,93,97,93,89,99,98,97,98,98,89,98,98,95
rou,Romania,,,,,,,,99,99,99,99,,,,,,,,,,,,89,92,91,90,89,89,82,86,88,87,86,85,78
rus,Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,95
rwa,Rwanda,,,,,,,,,,,,,,88,96,89,95,99,97,97,97,97,97,98,98,98,98,98,98,97,98,91,88,98,94
sau,Saudi Arabia,,66,86,89,93,94,93,92,91,95,92,,,95,95,96,96,96,96,98,98,98,98,98,98,98,98,98,98,96,96,95,97,98,97
sdn,Sudan,,,,,,,,,,,,,,,,,,,,78,72,75,93,92,93,94,93,93,95,93,93,89,84,68,51
sen,Senegal,,,,,,,,,,,,,,,,,18,89,94,88,86,89,92,91,92,89,89,93,93,92,95,91,90,93,83
sgp,Singapore,,74,76,78,90,94,96,96,97,96,96,,,,,,,,,,,,,,85,86,96,96,96,97,96,98,98,97,98
slb,Solomon Islands,,,,,53,65,68,97,73,75,79,,,,,,,,,89,87,87,92,92,83,77,87,94,83,85,94,94,87,89,84
sle,Sierra Leone,,,,,,,,,,,,,,,,,,,63,77,84,86,89,91,92,83,86,84,90,93,95,91,92,91,91
slv,El Salvador,,,,,,,,,,,1,,,81,94,90,89,96,99,98,91,89,89,92,92,94,94,98,92,89,96,89,97,95,96
smr,San Marino,,,99,99,98,98,98,98,97,97,97,,,,,,,,,,,,,,,,,,,,,,,,
som,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,42,42,42,42,42,42,42,42,42,42,42
srb,Serbia,,,,,,,,,,,,,,,,,,42,89,98,94,91,93,90,92,94,95,92,95,96,97,92,91,92,93
ssd,South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,46,45,52,59,61,67,69,73,73
stp,Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,98,96,96,97,95,96,96,95,94,95,96,97,92,86
svk,Slovak Republic,,,,,,,,,,,,59,70,92,99,99,99,99,99,99,99,99,99,99,98,97,96,96,96,96,97,97,97,97,96
svn,Slovenia,,,,,,,,,,,,,93,93,95,94,95,97,97,97,96,96,96,96,95,95,95,94,94,93,95,95,86,89,89
swe,Sweden,,,,,,,,,,,,98,98,98,99,99,98,98,98,98,98,98,98,98,98,97,98,98,97,97,97,97,98,94,94
swz,Eswatini,,,,,,,,76,76,78,81,,,,,,,,,,89,89,91,95,98,98,90,90,90,90,90,83,77,97,85
syc,Seychelles,,,,,,,99,98,97,97,99,,,,,,,,,,,99,99,98,98,99,97,96,97,99,99,97,94,97,97
syr,Syria,,,,5,23,64,74,75,76,77,78,,84,83,82,81,80,80,80,79,80,80,72,58,54,56,54,55,61,60,67,62,61,59,66
tcd,Chad,,,,,,,,,,,,,,,,,,,,17,24,39,33,40,39,36,42,41,41,46,50,52,58,60,67
tgo,Togo,,,,,,,,,,,,,,,,,,,,24,78,83,85,84,84,84,82,82,83,81,84,82,83,82,85
tha,Thailand,,,,15,58,66,93,93,94,95,95,,,,,,,,,,,,,,,,,,,,,45,84,83,83
tjk,Tajikistan,,,,,,,,,,,,,,,,,,,,46,93,93,96,94,96,97,96,97,96,96,97,97,97,97,96
tkm,Turkmenistan,,,,,,,,,,,,,,,,,,,,,,58,71,97,97,97,99,98,99,99,99,99,97,98,98
tls,Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,82,77,76,79,83,83,83,83,83,83,83
ton,Tonga,,94,88,82,96,90,91,94,95,96,93,,,,,,99,99,99,99,99,99,99,95,99,98,96,96,99,99,99,99,99,99,99
tun,Tunisia,,,,,,,,83,88,91,94,,,,96,97,80,,,,,,43,97,98,98,98,98,98,97,98,97,97,97,97
tur,Turkey,,,,,,,,,,,,,,,,,,,76,96,96,97,97,97,98,96,97,98,96,98,99,98,95,99,99
tuv,Tuvalu,,,,,,17,49,86,88,96,93,,,,,,,,,,84,89,96,97,90,89,96,94,96,89,92,93,94,91,94
tza,Tanzania,,,,,,,,,,,,,,,,,,,,,85,91,90,92,91,97,96,92,90,89,91,91,86,93,93
uga,Uganda,,,,,,,,,,,,,,29,44,62,64,64,73,71,79,80,82,83,84,85,89,93,94,93,93,89,91,89,91
ukr,Ukraine,,,,,,,,,,,,,,,,,,11,46,81,66,51,26,83,83,38,38,47,39,58,80,85,87,70,78
ury,Uruguay,,,,,,,,,,,93,88,90,95,91,94,96,95,94,94,95,95,95,95,94,95,95,95,93,91,94,92,91,94,95
usa,USA,,,,,16,42,68,82,84,87,88,,,,,,,,,,,,,,,,,,,,,,,,
uzb,Uzbekistan,,,,,,,,,,,,,,,,,,,,,98,99,99,99,99,99,99,99,99,98,96,95,98,99,99
vct,St. Vincent and the Grenadines,,,,,,,,,,,,,,,27,99,99,99,99,99,99,99,96,97,98,98,99,99,99,97,98,98,99,99,94
ven,Venezuela,,,,,,,,,,,,2,34,59,54,60,87,71,62,51,84,78,78,81,82,78,87,84,66,60,64,54,56,43,54
vnm,Vietnam,,,,,,,,,,,,,,,,,,,,,,63,95,97,59,95,97,96,94,75,89,94,83,91,65
vut,Vanuatu,,,46,82,82,69,66,69,75,73,71,,,,,,,,,,,,64,64,86,86,80,81,85,85,90,78,62,68,72
wsm,Samoa,,,,18,1,94,96,98,99,98,97,,,,,,,,,32,55,70,74,82,85,81,80,74,67,44,68,89,85,76,83
yem,Yemen,,,,,,,,,,,9,,,,,,43,73,75,75,74,75,69,67,71,70,63,63,59,54,60,57,56,58,46
zaf,South Africa,,,,,,,,,74,74,73,73,71,70,69,75,82,84,84,80,77,72,71,69,79,85,85,85,84,82,85,84,86,85,79
zmb,Zambia,,,,,,,,,,,,,,,,83,82,81,80,87,94,83,81,78,79,86,90,95,94,90,88,84,91,82,80
zwe,Zimbabwe,,,,,,,1,9,16,24,31,,,,,,,,,75,73,90,94,97,95,91,87,90,89,89,90,86,88,90,90
