geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
gtm,Guatemala,,,,,,,,,,,,,,,87,89,85,95,92,94,88,96,96,74,70,83,91,85,88,90,80,81,83
guy,Guyana,,,,,,,,,,,85,91,90,91,93,93,94,93,98,95,93,97,98,98,95,97,97,95,99,99,98,98,98
hnd,Honduras,,,,,,,,,,93,95,94,91,93,97,94,93,92,97,97,97,98,99,99,98,95,90,91,88,80,77,78,73
hrv,Croatia,,,,,,,,,,,,,,,,,94,97,97,97,96,96,96,95,94,92,92,93,93,91,90,90,92
hti,Haiti,,,,,,,,,,,,,,,,,,,,,,,68,63,64,64,64,64,51,51,51,51,51
hun,Hungary,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
idn,Indonesia,,,,,,,,,,65,62,63,64,64,65,66,76,82,82,83,81,86,92,88,84,84,85,85,85,77,67,91,83
ind,India,,,,,,,,,,,,,,6,8,6,6,29,37,38,44,73,70,79,87,88,89,90,91,85,85,93,91
irl,Ireland,,,,,,,76,84,86,,,,,,,,,,,46,95,95,95,95,95,95,95,94,93,94,93,93,93
irn,Iran,,,,,,,,,,99,94,99,98,95,94,98,97,99,99,99,99,98,99,99,98,99,99,99,99,99,98,99,99
irq,Iraq,,,,,,,,,,67,66,65,63,62,65,59,56,66,75,72,78,65,68,69,68,71,81,86,84,74,78,93,91
isl,Iceland,99,99,99,99,99,99,99,99,98,,,,,,,,,,,,,,,,,,,,,,,,
isr,Israel,,,,92,93,92,92,94,93,,,,,,,,,,,,,,,,,,,,,,,,
jam,Jamaica,,,,,,,,,,,,,36,98,99,97,92,92,90,94,92,96,93,92,91,98,93,97,96,95,89,98,98
jor,Jordan,,,,,,,,,,93,97,95,97,95,95,98,98,97,98,98,98,98,98,98,99,98,99,96,89,77,85,92,96
jpn,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,92,96,96,95
kaz,Kazakhstan,,,,,,,,,,99,95,95,99,99,94,99,94,99,99,99,99,95,99,95,98,82,99,98,97,88,95,99,97
ken,Kenya,,,,,,,,,,,,84,73,73,76,80,81,88,88,90,96,94,87,92,89,88,81,91,93,93,95,94,93
kgz,Kyrgyz Republic,,,,,,,,,,44,57,99,99,99,97,90,94,97,96,96,96,96,97,96,97,96,92,94,95,86,89,90,87
khm,Cambodia,,,,,,,,,,,,,,,,80,82,91,92,91,91,91,86,90,91,91,90,89,88,87,87,85,85
kir,Kiribati,,,,,,,,,,90,85,79,73,67,50,88,96,83,86,91,95,94,95,75,82,81,90,95,97,92,90,91,90
kna,St. Kitts and Nevis,,,,,,,,,,99,99,96,99,96,99,99,99,98,97,96,98,98,97,98,94,98,98,98,97,99,96,96,97
kor,South Korea,,,,,,,,,,93,89,92,91,92,99,99,91,94,94,94,99,99,99,99,98,98,98,98,98,98,98,97,97
kwt,Kuwait,,,,,,,,94,94,95,99,99,99,94,99,99,99,99,99,99,99,98,99,96,99,99,99,91,92,93,94,96,99
lao,Lao,,,,,,,,,,,,,50,45,49,57,50,61,67,74,76,77,83,83,83,83,84,85,80,79,75,80,84
lbr,Liberia,,,,,,,,,,,,,,,,,,75,81,70,77,80,80,63,65,73,80,80,70,65,66,78,82
lby,Libya,,,,,,,,,,92,93,91,96,99,97,98,98,98,98,98,98,98,96,94,97,97,96,73,73,73,73,73,73
lca,St. Lucia,,,,,,,,,,,,14,84,91,95,85,99,96,95,97,99,98,99,99,99,95,80,95,92,86,80,81,74
lka,Sri Lanka,,,,,,,,,,,,,32,62,99,98,98,98,97,99,99,99,99,99,99,99,99,99,99,96,96,98,99
lso,Lesotho,,,,,,,,,,,,,17,60,87,91,90,88,91,93,96,95,93,88,83,87,87,87,87,87,87,87,87
ltu,Lithuania,,,,,,,,,2,98,95,94,95,94,95,95,96,96,95,94,95,93,93,94,94,95,94,93,92,91,90,90,89
lux,Luxembourg,,,,,,,86,88,91,,,,,,,,,,,,,,,,,,,,,,,,
lva,Latvia,,,,10,58,35,67,47,76,95,96,98,98,98,99,94,91,93,92,91,89,90,94,92,94,98,98,96,99,99,94,95,97
mar,Morocco,,,,,,,,,,43,84,92,90,95,96,95,95,97,98,98,98,99,99,99,99,99,99,99,99,99,99,99,99
mco,Monaco,,,,,,,,,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
mda,Moldova,,,,,,,,,,92,94,99,99,99,99,98,95,97,89,98,96,94,91,92,88,90,89,94,94,87,87,90,88
mdg,Madagascar,,,,,,,,,,,,51,61,71,81,82,84,77,77,70,73,68,70,68,62,68,65,74,70,68,57,57,65
mdv,Maldives,,,,,,,,,,96,98,98,98,97,98,98,98,98,98,97,96,99,99,99,99,99,99,99,98,99,96,99,99
mex,Mexico,,,,,,,,,,97,97,97,98,98,98,98,98,97,95,93,98,99,82,84,76,82,58,55,56,77,80,83,85
mhl,Marshall Islands,,,,,,,,,,38,76,80,74,72,89,97,93,97,99,97,89,80,80,79,85,73,82,84,82,86,89,87,89
mkd,North Macedonia,,,,,,,,,,,,,,,53,89,96,97,95,90,96,98,97,97,92,94,91,92,92,84,79,84,86
mli,Mali,,,,,,,,,,,,,79,73,83,90,74,74,71,72,66,65,64,66,71,76,77,77,77,70,77,77,77
mlt,Malta,,,,,,38,64,89,91,,,,,,,,,,,,,,,,,,,,,,,,
